"project","relative_path","file_type","size_bytes","sha256","status","proposed_action","risk"
"NextGenTutors-BeyondInfinity","assets/ngt/css/pages.css","css","23848","EDCED5BCDE26EEE0D38D26FD207A560A8D41799C9B9803DB8ABB4262E8E4E1BF","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/css/tokens.css","css","6838","5463B59F05474CE508D56BCF5F7312F53512A147591262F39202CD7CA5986F8D","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/img/logo-200.png","image","43579","6F3F41D43C7536E5555543191E55F3CB3412EAD73111C269D56496535D49FE19","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/img/logo-dark.png","image","1832613","51007C08A8D9C884683B0F53330C82E9E60F07F9053F2B34F8A72DE229E4AF9F","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/img/logo.png","image","185819","22CA2B5A623FBDD2B3DBA5BDB1E15D123EE5C75348F1AA782D0E7D57E83F80B6","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/admin-dash.js","js","2870","4F9515195470591A0798FE5FED8A77DA31CB6164A20CA9992E54D8D627E23CE6","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/chat.js","js","12310","FD84F5E61983D94395E54AB7CEF2045F97A91708F1592E5BC5318E8430453804","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/chrome.js","js","16887","30EAAECC40D2C26190B3DF6130DB31F4752163558FECEAD880B879DB4A16D901","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/dashboard.js","js","2155","D4FBF1B069F57A1642BFF99B4464BCCC3A79E3036C134A70101771F148CCAA31","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/data.js","js","7494","3AAA811B3D15F7283F232CDE1250C2AB7299B8BFAB0F18E83FFCA0D5D18CDEC3","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/export.js","js","4204","92ADC1D2DB5871CFAB5DD5D545EBFAE99954C00920AA05EC5AABD8CF309F3DD0","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/floating.js","js","13842","A977B9CCD4C35AEC02CAD4B72B2A25298533A1BE7F0D25CECFF75070D4E3FE13","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/home.js","js","15127","7522C74AA1EEBCA9BBD3185AD8D38566D0E6AD2AE783B7E472ABBC2D24B9DCF3","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/onboarding.js","js","10109","334D5EDDEA7D0ADA3FB7CB0FE2D324A47E28C5E97EC7AA3F30461E47147F13EE","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/preloader.js","js","11002","F5FD2033C1E0B877E5BFCDAA43686A6FC7E0348868255DF3B7A85004F73ABDC3","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/pricing.js","js","4105","71ED9A0043207BF4518D097F655E1D407827D4EA887293595B7DAA3D88CF4B4E","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/profile.js","js","6768","1747984A9D48EC64C3E0A1ED9E0C249F7A027694278CB54566542CD39EAB23C6","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/reports.js","js","8581","347DFAE2DF75841D562C492FF05FB675F2A7DD0CA6FB63D47B5224B974FFF263","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/setup.js","js","2383","371A3444EBC39A5DF8B6E17A6C186BEF718BB672CEC4A77F1779E48EADF2A670","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/static.js","js","5135","A1A5D1CDA37519F2D75F9E275E51EE417B895C9539EDD94087BE8017CDE0F768","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/tutor-dash.js","js","2874","DBEB03ED45478C265ECA53F423342E8FC7D54B2F895C818B6BA2B582D0804BB4","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/ngt/js/tutors.js","js","6801","911EBFF763202C21FA7BB4934588CB8ED5F43A0351F849539E9DA3BF364864E1","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/videos/about-learning.mp4","other","4855396","59E2568ACD74E9B833972059C88662E29EA470584CD8249409DB8CD1657F90FB","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/videos/become-tutor-classroom.mp4","other","2873541","27543EC0B41B10163E15EC1818F4B35B134B5C808A207A478EB369034D832A9C","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/videos/find-tutor-session.mp4","other","5499250","90E7B561CA9292F6B4493D9E39806A88B239EC131A3FBBD89173465AA869B1A7","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/videos/hero-mother-daughter-online.mp4","other","3782709","D037E158496F1123B69763D70B846824CD4ECADF46677159DD7ACA43B3BD9304","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/videos/story-online-class.mp4","other","4643176","5844E2C12CB7C4A0321748787AEBC38A97436C180439182927068E594E9F71C7","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/admin-beyondinfinity.php","php","6057","3A5E4186252D3E71457EBF7CC0152CA4637E4B0926223C2B7BA0DEBA00C75213","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/admin.php","php","22495","A0170ABA6253038B8417EE3706CB6BEF8A38C8FD1772C87068C5ED8D63A2B7B2","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/bi-3d.php","php","8043","37E027B36246B2E9A3C4206AB360C0BC8D500A488DD0C78938AC272AD0474AE7","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/companion.php","php","4573","81B057B5EB9BF2C3661D073E1EDB675F38A6E5F238E16A243FDAD99CDC44D4DB","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/content-groups.php","php","13851","C13F0AC03478E594751417E704BA85C93BC113C5A2969B737433B53C5D231E34","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/customizer.php","php","280","40C49A1C3597BAE40413E382654E35C587F9BE13DC2EBC838D88788EF10410C3","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/helpers.php","php","12873","49F3C2BD0FD776FD7B23BB113545C782A0566A1EA63B856B2A0E7B9D69E3DD11","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/kinetic-home.php","php","8630","E953EDC707FDC91917E79B505A2D59E67C012779278693053FFE733FC6FA4526","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/kinetic-image-hover.php","php","5365","D1917B15B93A8C7A2B392BA98F47E7086208AA979CF5ED8EECC1388D51BAD97B","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","inc/kinetic-surface.php","php","2976","9A89285B8656E499BAF5F1A35893FDDD546DC65A782E7F4361D9E2ADDB6D8725","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","inc/layout-manager.php","php","14116","2CD8440167CBC0471EAC3EA40636ABCFB2BFFC2910AC642A7E2338FDCD04FADF","DUPLICATE","CONSOLIDATE","low"
