"relative_path","name","extension","bytes","sha256","under_extracted"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/emails/Welcome & Booking Confirmation.html","Welcome & Booking Confirmation.html",".html","4632","6D9B66C9DEA0CB5F091D776268C1B389533E473351246EAE8BD2B591EAD27F1C","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/tests/bootstrap.php","bootstrap.php",".php","2931","A7CC1DCC1B9A4EF92E6E387863FEA3BA8CC8D02FA095A3B5919AB9D23AF615F8","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/tests/execute_tests.php","execute_tests.php",".php","3092","971F06C16B886D3B72383E29E74181EFD0CF72B6DF5417815B7B37F0FD9B4E13","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/tests/ImporterTest.php","ImporterTest.php",".php","923","E1EFA91C510D1D59E83CF0DD760000164F37F416EF10685614741DE375DFB0E6","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/tests/LoggerTest.php","LoggerTest.php",".php","695","545834CB7293133EE6BF9C8E147579F4B1C3C8FC6B6BDBF73F7852CBD31DA03F","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/tests/SecurityTest.php","SecurityTest.php",".php","1174","0CCDDADA743E7D1FD801267DCF0DCDE66B79A70BA5E26F35EB69A930243055F6","True"
"_extracted/nextgen-tutors-core-ready/nextgen-tutors-core/nextgen-tutors-core.php","nextgen-tutors-core.php",".php","3264","E0C8855A135F9F0279C48F4424FA7D95E62699EFEB5E5134890FF739C3B1268A","True"
"_extracted/nextgen-tutors-core-ready/nextgen-tutors-core/phpunit.xml","phpunit.xml",".xml","402","0D8F8CC76A7B24FEDC3137081D014A49A17DE54A85480CEBC2E86B3021883426","True"
"_extracted/nextgen-tutors-core-ready/nextgen-tutors-core/assets/css/admin.css","admin.css",".css","6560","7ED0270DE39F02A33C86CAAFCB8BA9763BD8EEF1551021B2CC1FA98F05D7497E","True"
"_extracted/nextgen-tutors-core-ready/nextgen-tutors-core/assets/js/admin.js","admin.js",".js","9113","B52DD287D31026B6934488462879D9CE4C3B9068B51BE589BA1D72FF7D1E53CB","True"
